Full Name,Gender,Nationality,Age Group,Course,Semester,Subjects Enrolled,Study Preference,Availability,Learning Style,Motivational Factors,Preferred Study Environment,Strengths,Hobbies,Interests Outside of Academics,Future Career Aspirations,Preferred Communication Channels,Proficiency in Tools/Technologies,Location Preference,Preferred Study Partner Personality,Past Group Project Experience,Willingness to Mentor Others
Dustin Bennett,Non-Binary,China,21-25,Master's,Sem 6,"Machine Learning, Environmental Science, Cybersecurity, Data Science",Individual,"Sun (1pm-3pm), Wed (2pm-6pm), Tue (8am-9am)",Reading/Writing,Personal Goals,Quiet Spaces,Analytical Thinking,Reading,Community Service,Software Engineer,In-Person,Office 365,In-person,Relaxed,Yes,No
Patrick Brown,Male,UK,25+,Bachelor's,Sem 7,"Geography, Computer Science, Physics, Economics",Group,"Sun (2pm-4pm), Wed (4pm-6pm), Tue (11am-3pm)",Reading/Writing,Deadlines,Library,Presentation,Robotics,Art Exhibitions,Business Analyst,Email,Office 365,In-person,Competitive,No,No
Melissa Fletcher,Binary,Japan,25+,Master's,Sem 2,"Cybersecurity, International Relations, Architecture, Artificial Intelligence",Individual,"Sun (1pm-4pm), Wed (8am-10am), Tue (3pm-7pm)",Visual,Competition,Cafes,Presentation,Writing,Environmental Activism,Software Engineer,Email,SQL,In-person,Competitive,Yes,Yes
Michelle Moreno,Binary,Australia,18-21,Master's,Sem 4,"Marketing, Business Administration, Cybersecurity, Urban Development",Individual,"Sun (12pm-2pm), Wed (12pm-3pm), Tue (10am-2pm)",Reading/Writing,Competition,Library,Time Management,Robotics,Mental Health Advocacy,Software Engineer,WhatsApp,Office 365,Online,Focused,Yes,No
Claudia Turner,Binary,UK,18-21,Bachelor's,Sem 6,"Geography, Mathematics, History, Psychology",Group,"Sun (1pm-2pm), Wed (4pm-7pm), Tue (4pm-7pm)",Visual,Collaboration,Group Study Rooms,Analytical Thinking,Sports,Philosophy,Project Manager,In-Person,Editing Tools,In-person,Competitive,No,Yes
Benjamin Rivera,Male,UK,25+,Bachelor's,Sem 5,"Literature, Physics, Economics, Geography",Group,"Sun (8am-12pm), Wed (8am-12pm), Tue (8am-11am)",Visual,Deadlines,Quiet Spaces,Analytical Thinking,Chess,Language Learning,Software Engineer,Slack,Power Point,In-person,Collaborative,No,Yes
Brandi Reed,Prefer Not to Say,Ireland,21-25,Bachelor's,Sem 2,"Sociology, History, Engineering Fundamentals, Chemistry",Group,"Sun (1pm-3pm), Wed (11am-12pm), Tue (9am-10am)",Visual,Collaboration,Group Study Rooms,Time Management,Gaming,Language Learning,Software Engineer,Slack,Animation Tools,Online,Competitive,No,Yes
Jessica Mooney,Male,UK,25+,Bachelor's,Sem 7,"Computer Science, Political Science, Mathematics, Economics",Individual,"Sun (11am-2pm), Wed (3pm-5pm), Tue (1pm-2pm)",Kinesthetic,Collaboration,Quiet Spaces,Research,Music,Open Source Contributions,Software Engineer,Email,Office 365,Online,Competitive,No,Yes
Vincent Contreras,Binary,Japan,18-21,Bachelor's,Sem 5,"Sociology, Mathematics, Chemistry, Computer Science",Individual,"Sun (12pm-3pm), Wed (9am-1pm), Tue (9am-1pm)",Kinesthetic,Collaboration,Cafes,Time Management,Robotics,Art Exhibitions,Supply Chain Manager,Email,Animation Tools,Online,Competitive,Yes,Yes
Thomas Turner,Female,Japan,25+,Master's,Sem 5,"International Business, Data Science, Degin Futere, Environmental Science",Group,"Sun (1pm-4pm), Wed (5pm-6pm), Tue (9am-10am)",Kinesthetic,Personal Goals,Cafes,Presentation,Chess,Art Exhibitions,Business Analyst,Slack,Office 365,In-person,Competitive,Yes,Yes
Sarah Ramirez,Binary,China,18-21,Master's,Sem 7,"Artificial Intelligence, International Business, Marketing, Data Science",Individual,"Sun (10am-1pm), Wed (10am-12pm), Tue (4pm-8pm)",Visual,Competition,Quiet Spaces,Problem-Solving,Yoga,Volunteering,Project Manager,WhatsApp,Python,Online,Focused,Yes,No
Jenna Porter,Prefer Not to Say,Germany,25+,Master's,Sem 5,"Architecture, Environmental Science, Cybersecurity, Artificial Intelligence",Group,"Sun (10am-11am), Wed (11am-1pm), Tue (2pm-6pm)",Kinesthetic,Personal Goals,Group Study Rooms,Analytical Thinking,Cycling,Baking,Business Analyst,WhatsApp,Animation Tools,In-person,Relaxed,No,No
Shannon Grant,Non-Binary,Nigeria,21-25,Bachelor's,Sem 4,"Political Science, Geography, Computer Science, Chemistry",Individual,"Sun (12pm-4pm), Wed (2pm-3pm), Tue (5pm-9pm)",Reading/Writing,Collaboration,Group Study Rooms,Time Management,Chess,Volunteering,Supply Chain Manager,Email,Power Point,Online,Collaborative,No,No
Melissa Bond,Female,Brazil,25+,Master's,Sem 2,"Machine Learning, International Business, Mechanical Engineering, Data Science",Individual,"Sun (5pm-6pm), Wed (5pm-8pm), Tue (9am-11am)",Auditory,Competition,Cafes,Presentation,Reading,Baking,Business Analyst,Slack,Excel,Online,Focused,Yes,Yes
Victoria Benson,Prefer Not to Say,New Zealand,18-21,Bachelor's,Sem 1,"Economics, Geography, Engineering Fundamentals, Computer Science",Group,"Sun (8am-9am), Wed (4pm-6pm), Tue (10am-11am)",Visual,Deadlines,Library,Analytical Thinking,Painting,Independent Music,Project Manager,WhatsApp,Office 365,Online,Relaxed,Yes,Yes
Mary Riddle,Binary,Australia,25+,Master's,Sem 3,"Business Administration, Mechanical Engineering, Environmental Science, Data Science",Individual,"Sun (2pm-4pm), Wed (9am-12pm), Tue (9am-11am)",Kinesthetic,Personal Goals,Group Study Rooms,Presentation,Painting,Culinary Arts,Business Analyst,Email,Editing Tools,In-person,Relaxed,No,No
Michael Warner,Female,China,21-25,Bachelor's,Sem 4,"Physics, Computer Science, Literature, History",Individual,"Sun (10am-2pm), Wed (9am-12pm), Tue (4pm-6pm)",Visual,Deadlines,Quiet Spaces,Presentation,Cooking,DJ,Business Analyst,In-Person,Power Point,In-person,Collaborative,No,No
James Dunn,Female,Mexico,18-21,Bachelor's,Sem 8,"Chemistry, Economics, Computer Science, Engineering Fundamentals",Group,"Sun (2pm-4pm), Wed (9am-12pm), Tue (5pm-6pm)",Reading/Writing,Competition,Group Study Rooms,Problem-Solving,Writing,Language Learning,Software Engineer,Slack,SQL,Online,Focused,Yes,No
Andrew Carter,Non-Binary,China,21-25,Bachelor's,Sem 7,"Geography, Physics, Psychology, Chemistry",Group,"Sun (4pm-7pm), Wed (11am-3pm), Tue (12pm-1pm)",Visual,Deadlines,Quiet Spaces,Analytical Thinking,Painting,Wildlife Conservation,Software Engineer,Email,Editing Tools,In-person,Focused,Yes,Yes
Ryan Stein,Non-Binary,Japan,21-25,Master's,Sem 2,"International Relations, Artificial Intelligence, Data Science, Cybersecurity",Individual,"Sun (3pm-4pm), Wed (10am-11am), Tue (4pm-6pm)",Auditory,Personal Goals,Group Study Rooms,Problem-Solving,Robotics,Cultural Studies,Data Scientist,WhatsApp,Editing Tools,In-person,Collaborative,Yes,No
Karina Salinas,Prefer Not to Say,India,21-25,Master's,Sem 5,"International Business, International Relations, Artificial Intelligence, Business Administration",Group,"Sun (1pm-5pm), Wed (10am-11am), Tue (10am-1pm)",Visual,Personal Goals,Quiet Spaces,Time Management,Gaming,Travel,Supply Chain Manager,WhatsApp,Office 365,In-person,Relaxed,No,No
Jeremy Martinez,Female,Mexico,25+,Bachelor's,Sem 5,"Computer Science, Sociology, Engineering Fundamentals, Physics",Individual,"Sun (11am-2pm), Wed (4pm-5pm), Tue (3pm-6pm)",Visual,Deadlines,Library,Time Management,Yoga,Financial Literacy Education,Project Manager,In-Person,Power Point,Online,Collaborative,Yes,Yes
Jesus Watts,Prefer Not to Say,Australia,21-25,Master's,Sem 2,"Education Leadership, Degin Futere, Marketing, International Relations",Group,"Sun (12pm-1pm), Wed (9am-1pm), Tue (9am-1pm)",Reading/Writing,Competition,Library,Problem-Solving,Writing,Volunteering,Business Analyst,Slack,Python,In-person,Relaxed,No,No
Joshua Pennington,Prefer Not to Say,South Africa,25+,Master's,Sem 3,"Degin Futere, Data Science, Marketing, Architecture",Group,"Sun (5pm-6pm), Wed (2pm-3pm), Tue (9am-12pm)",Visual,Competition,Group Study Rooms,Problem-Solving,Hiking,Digital Marketing,Data Scientist,Slack,Animation Tools,Online,Collaborative,Yes,No
Vicki Jarvis,Binary,Nigeria,18-21,Master's,Sem 7,"Finance, International Relations, Urban Development, Marketing",Group,"Sun (3pm-4pm), Wed (1pm-4pm), Tue (4pm-8pm)",Reading/Writing,Competition,Quiet Spaces,Time Management,Reading,Environmental Activism,Business Analyst,Slack,Excel,Online,Collaborative,Yes,Yes
Christopher Williams,Binary,USA,21-25,Master's,Sem 3,"Degin Futere, Marketing, Finance, Mechanical Engineering",Individual,"Sun (12pm-1pm), Wed (8am-10am), Tue (11am-3pm)",Auditory,Deadlines,Cafes,Analytical Thinking,Hiking,Volunteering,Supply Chain Manager,Email,SQL,Online,Collaborative,No,No
Michael Contreras,Prefer Not to Say,USA,21-25,Bachelor's,Sem 7,"Physics, History, Engineering Fundamentals, Mathematics",Group,"Sun (8am-12pm), Wed (11am-2pm), Tue (4pm-5pm)",Auditory,Competition,Cafes,Analytical Thinking,Writing,Community Service,Project Manager,Slack,Python,Online,Collaborative,Yes,No
Glenn Gonzalez,Binary,France,21-25,Bachelor's,Sem 2,"Economics, Geography, Mathematics, Biology",Group,"Sun (1pm-4pm), Wed (5pm-6pm), Tue (5pm-8pm)",Reading/Writing,Collaboration,Cafes,Time Management,Dance,Financial Literacy Education,Data Scientist,WhatsApp,Power Point,In-person,Collaborative,No,Yes
Denise Payne,Female,Mexico,21-25,Bachelor's,Sem 4,"Engineering Fundamentals, Biology, Sociology, Physics",Individual,"Sun (10am-11am), Wed (2pm-3pm), Tue (2pm-3pm)",Kinesthetic,Deadlines,Quiet Spaces,Time Management,Sports,Community Service,Project Manager,WhatsApp,Animation Tools,Online,Competitive,Yes,No
Andrew Levine,Non-Binary,New Zealand,25+,Master's,Sem 5,"Finance, Environmental Science, Degin Futere, Mechanical Engineering",Individual,"Sun (1pm-5pm), Wed (5pm-8pm), Tue (12pm-1pm)",Kinesthetic,Personal Goals,Cafes,Analytical Thinking,Reading,Digital Marketing,Data Scientist,Email,Adobe Illustration,In-person,Focused,No,Yes
Joan Scott,Female,France,18-21,Master's,Sem 6,"International Business, Education Leadership, Cybersecurity, Architecture",Individual,"Sun (4pm-5pm), Wed (1pm-4pm), Tue (12pm-1pm)",Auditory,Competition,Cafes,Problem-Solving,Hiking,Independent Music,Project Manager,Email,Editing Tools,Online,Competitive,Yes,No
Todd Walton,Binary,South Africa,25+,Bachelor's,Sem 7,"Chemistry, Engineering Fundamentals, Physics, Literature",Individual,"Sun (5pm-8pm), Wed (4pm-5pm), Tue (2pm-5pm)",Auditory,Personal Goals,Library,Presentation,Hiking,Language Learning,Data Scientist,Slack,Power Point,Online,Relaxed,Yes,No
Jeffrey Gibson,Binary,Nigeria,21-25,Master's,Sem 8,"Architecture, Degin Futere, Finance, International Relations",Group,"Sun (9am-12pm), Wed (10am-2pm), Tue (3pm-7pm)",Auditory,Collaboration,Group Study Rooms,Presentation,Chess,Wildlife Conservation,Software Engineer,Slack,SQL,In-person,Collaborative,Yes,Yes
Chelsea Powell,Female,Brazil,21-25,Master's,Sem 4,"Artificial Intelligence, Data Science, International Relations, Cybersecurity",Individual,"Sun (2pm-3pm), Wed (10am-12pm), Tue (11am-1pm)",Reading/Writing,Personal Goals,Cafes,Time Management,Dance,DJ,Software Engineer,In-Person,Excel,Online,Relaxed,Yes,No
Kathryn Simon,Non-Binary,Japan,21-25,Bachelor's,Sem 7,"Psychology, Chemistry, Engineering Fundamentals, Sociology",Group,"Sun (12pm-2pm), Wed (10am-1pm), Tue (10am-11am)",Reading/Writing,Personal Goals,Library,Problem-Solving,Gaming,Language Learning,Data Scientist,In-Person,Python,Online,Relaxed,No,Yes
Todd Aguirre,Binary,USA,18-21,Bachelor's,Sem 6,"Computer Science, Chemistry, History, Physics",Individual,"Sun (3pm-4pm), Wed (2pm-6pm), Tue (3pm-7pm)",Visual,Personal Goals,Library,Research,Yoga,Environmental Activism,Software Engineer,WhatsApp,Adobe Illustration,In-person,Relaxed,Yes,No
James Camacho DDS,Male,Australia,18-21,Master's,Sem 3,"Architecture, International Business, Mechanical Engineering, Environmental Science",Individual,"Sun (4pm-5pm), Wed (5pm-7pm), Tue (8am-12pm)",Kinesthetic,Deadlines,Group Study Rooms,Analytical Thinking,Writing,Renewable Energy,Business Analyst,Slack,SQL,Online,Relaxed,No,No
Shannon Baker,Binary,Ireland,25+,Master's,Sem 4,"Environmental Science, International Business, Data Science, Urban Development",Group,"Sun (4pm-7pm), Wed (5pm-9pm), Tue (8am-9am)",Kinesthetic,Competition,Library,Research,Running,Financial Literacy Education,Business Analyst,Slack,Adobe Illustration,Online,Relaxed,No,Yes
Heather Ellis,Female,Germany,18-21,Master's,Sem 2,"Architecture, Marketing, Finance, Degin Futere",Individual,"Sun (5pm-8pm), Wed (10am-1pm), Tue (9am-11am)",Kinesthetic,Collaboration,Library,Research,Cycling,Community Service,Data Scientist,Slack,Animation Tools,In-person,Competitive,No,Yes
Cindy Harris,Prefer Not to Say,Nigeria,21-25,Master's,Sem 5,"Data Science, Finance, Mechanical Engineering, Environmental Science",Individual,"Sun (12pm-4pm), Wed (2pm-3pm), Tue (11am-3pm)",Reading/Writing,Deadlines,Cafes,Time Management,Gaming,Renewable Energy,Business Analyst,In-Person,SQL,Online,Competitive,Yes,No
Zachary Burgess,Non-Binary,Mexico,21-25,Bachelor's,Sem 1,"Computer Science, Chemistry, Biology, Political Science",Group,"Sun (1pm-5pm), Wed (8am-9am), Tue (1pm-4pm)",Visual,Deadlines,Quiet Spaces,Analytical Thinking,Yoga,Tech Entrepreneurship,Project Manager,In-Person,Python,Online,Focused,Yes,Yes
Jay Cowan,Male,Mexico,25+,Master's,Sem 1,"Degin Futere, Mechanical Engineering, Cybersecurity, Marketing",Group,"Sun (12pm-2pm), Wed (8am-11am), Tue (8am-10am)",Reading/Writing,Personal Goals,Cafes,Research,Gaming,Open Source Contributions,Business Analyst,Email,Adobe Illustration,Online,Competitive,No,No
Jacob Wells,Prefer Not to Say,New Zealand,21-25,Bachelor's,Sem 1,"Chemistry, Mathematics, Psychology, Economics",Group,"Sun (2pm-3pm), Wed (3pm-4pm), Tue (10am-1pm)",Kinesthetic,Deadlines,Library,Time Management,Photography,Independent Music,Data Scientist,Email,Adobe Illustration,Online,Focused,Yes,Yes
Kathryn White,Binary,New Zealand,25+,Bachelor's,Sem 6,"Economics, Sociology, Psychology, Geography",Individual,"Sun (8am-10am), Wed (9am-10am), Tue (11am-12pm)",Visual,Competition,Group Study Rooms,Problem-Solving,Chess,Group Entertainment,Supply Chain Manager,WhatsApp,Office 365,Online,Competitive,No,No
Tiffany Patton,Binary,France,25+,Bachelor's,Sem 7,"Engineering Fundamentals, Psychology, Geography, Biology",Group,"Sun (1pm-5pm), Wed (4pm-5pm), Tue (8am-12pm)",Visual,Personal Goals,Library,Presentation,Cycling,Cultural Studies,Supply Chain Manager,Slack,Python,In-person,Focused,No,Yes
Joshua Richardson,Male,Canada,25+,Master's,Sem 6,"Architecture, Urban Development, Data Science, Cybersecurity",Group,"Sun (8am-10am), Wed (10am-11am), Tue (8am-9am)",Visual,Collaboration,Quiet Spaces,Research,Yoga,Independent Music,Software Engineer,Slack,Adobe Illustration,In-person,Focused,Yes,Yes
Michael Bennett,Binary,Australia,18-21,Master's,Sem 3,"Machine Learning, Environmental Science, Artificial Intelligence, Finance",Group,"Sun (8am-12pm), Wed (12pm-4pm), Tue (9am-10am)",Visual,Competition,Library,Time Management,Chess,Wildlife Conservation,Data Scientist,In-Person,Animation Tools,In-person,Focused,No,No
Matthew Pena,Female,Mexico,25+,Master's,Sem 8,"Business Administration, Finance, Degin Futere, Machine Learning",Individual,"Sun (12pm-4pm), Wed (2pm-3pm), Tue (11am-3pm)",Visual,Personal Goals,Cafes,Analytical Thinking,Sports,DJ,Software Engineer,WhatsApp,SQL,In-person,Focused,No,Yes
Sharon White,Male,India,25+,Master's,Sem 8,"Environmental Science, Architecture, Machine Learning, International Business",Individual,"Sun (3pm-6pm), Wed (12pm-3pm), Tue (10am-11am)",Visual,Deadlines,Cafes,Research,Cycling,Independent Music,Data Scientist,Slack,Editing Tools,In-person,Collaborative,Yes,No
Caitlin Atkins,Female,Germany,21-25,Bachelor's,Sem 4,"Psychology, Political Science, Economics, Computer Science",Group,"Sun (5pm-8pm), Wed (9am-10am), Tue (12pm-4pm)",Kinesthetic,Personal Goals,Cafes,Time Management,Chess,Renewable Energy,Project Manager,In-Person,Python,Online,Focused,No,No
Alicia Burton,Prefer Not to Say,South Africa,21-25,Master's,Sem 5,"Architecture, Cybersecurity, Finance, Degin Futere",Group,"Sun (4pm-7pm), Wed (11am-12pm), Tue (9am-10am)",Visual,Deadlines,Quiet Spaces,Research,Reading,DJ,Project Manager,WhatsApp,Python,In-person,Focused,Yes,No
Kimberly Morgan,Female,UK,18-21,Bachelor's,Sem 7,"Sociology, Psychology, Biology, History",Group,"Sun (9am-11am), Wed (8am-9am), Tue (11am-12pm)",Kinesthetic,Deadlines,Cafes,Research,Hiking,Volunteering,Software Engineer,Email,Python,Online,Focused,Yes,No
Christopher Green,Binary,USA,25+,Bachelor's,Sem 2,"Mathematics, Psychology, Computer Science, Biology",Individual,"Sun (9am-11am), Wed (4pm-5pm), Tue (3pm-5pm)",Reading/Writing,Competition,Cafes,Time Management,Photography,Wildlife Conservation,Business Analyst,In-Person,Excel,Online,Collaborative,Yes,Yes
Kristy Brewer,Binary,USA,18-21,Bachelor's,Sem 5,"Computer Science, Mathematics, Economics, Political Science",Individual,"Sun (10am-1pm), Wed (4pm-5pm), Tue (1pm-2pm)",Reading/Writing,Collaboration,Quiet Spaces,Problem-Solving,Chess,Language Learning,Project Manager,Slack,Office 365,Online,Collaborative,Yes,Yes
Kendra Briggs,Prefer Not to Say,Australia,18-21,Bachelor's,Sem 4,"Engineering Fundamentals, Political Science, Chemistry, Biology",Group,"Sun (10am-12pm), Wed (8am-10am), Tue (9am-10am)",Kinesthetic,Personal Goals,Library,Research,Photography,Travel,Business Analyst,WhatsApp,Excel,Online,Focused,No,Yes
George Sexton,Prefer Not to Say,New Zealand,18-21,Master's,Sem 2,"Mechanical Engineering, Architecture, Finance, Cybersecurity",Group,"Sun (5pm-6pm), Wed (12pm-4pm), Tue (12pm-4pm)",Visual,Deadlines,Cafes,Presentation,Sports,Financial Literacy Education,Data Scientist,Email,Editing Tools,Online,Collaborative,Yes,Yes
Robert Thompson,Non-Binary,Germany,25+,Master's,Sem 2,"Environmental Science, Degin Futere, International Business, Business Administration",Group,"Sun (1pm-2pm), Wed (4pm-5pm), Tue (12pm-3pm)",Reading/Writing,Deadlines,Library,Research,Sports,Language Learning,Project Manager,WhatsApp,Excel,In-person,Relaxed,No,Yes
Mary Torres MD,Male,Ireland,25+,Master's,Sem 4,"Mechanical Engineering, Cybersecurity, Degin Futere, International Business",Individual,"Sun (8am-10am), Wed (2pm-3pm), Tue (5pm-9pm)",Reading/Writing,Personal Goals,Library,Analytical Thinking,Reading,Art Exhibitions,Data Scientist,Email,SQL,Online,Collaborative,Yes,No
Anthony Hunter,Binary,South Africa,25+,Bachelor's,Sem 1,"Biology, Sociology, Economics, Political Science",Individual,"Sun (8am-10am), Wed (3pm-5pm), Tue (11am-12pm)",Visual,Personal Goals,Group Study Rooms,Research,Photography,Tech Entrepreneurship,Software Engineer,Email,Editing Tools,In-person,Focused,Yes,No
Alexander Rivera,Binary,UK,25+,Master's,Sem 2,"International Relations, Machine Learning, Mechanical Engineering, Finance",Group,"Sun (4pm-7pm), Wed (9am-10am), Tue (1pm-5pm)",Kinesthetic,Personal Goals,Cafes,Problem-Solving,Cooking,Independent Music,Project Manager,Email,Excel,Online,Relaxed,Yes,No
Gary Smith,Binary,Japan,18-21,Bachelor's,Sem 6,"Chemistry, Geography, Economics, Physics",Group,"Sun (12pm-1pm), Wed (12pm-3pm), Tue (1pm-2pm)",Visual,Collaboration,Library,Presentation,Dance,Group Entertainment,Project Manager,Email,Python,Online,Competitive,Yes,No
Sandra Peters,Prefer Not to Say,South Africa,18-21,Master's,Sem 4,"Marketing, Degin Futere, Artificial Intelligence, Mechanical Engineering",Individual,"Sun (3pm-5pm), Wed (9am-10am), Tue (2pm-4pm)",Visual,Competition,Quiet Spaces,Research,Writing,Philosophy,Supply Chain Manager,WhatsApp,Power Point,Online,Collaborative,No,No
Sandra Waters,Prefer Not to Say,Canada,21-25,Master's,Sem 3,"Business Administration, Machine Learning, International Business, International Relations",Group,"Sun (9am-1pm), Wed (4pm-7pm), Tue (4pm-8pm)",Visual,Collaboration,Cafes,Problem-Solving,Gaming,Digital Marketing,Software Engineer,WhatsApp,SQL,Online,Collaborative,Yes,Yes
Susan Davila,Non-Binary,USA,21-25,Bachelor's,Sem 3,"Literature, Political Science, Biology, Chemistry",Group,"Sun (4pm-8pm), Wed (3pm-7pm), Tue (3pm-5pm)",Kinesthetic,Competition,Cafes,Research,Music,Community Service,Software Engineer,Email,Animation Tools,Online,Focused,Yes,Yes
Jake Brown,Male,New Zealand,25+,Bachelor's,Sem 8,"Physics, Geography, Literature, Mathematics",Individual,"Sun (11am-3pm), Wed (8am-12pm), Tue (12pm-2pm)",Visual,Collaboration,Library,Time Management,Music,Philosophy,Software Engineer,Slack,Animation Tools,Online,Collaborative,Yes,Yes
Monica Phillips,Prefer Not to Say,Mexico,25+,Master's,Sem 1,"Machine Learning, International Relations, Finance, Cybersecurity",Individual,"Sun (11am-1pm), Wed (5pm-8pm), Tue (3pm-6pm)",Reading/Writing,Deadlines,Group Study Rooms,Time Management,Gaming,Philosophy,Business Analyst,Email,Animation Tools,Online,Relaxed,No,No
Alicia Best,Female,UK,21-25,Bachelor's,Sem 7,"Geography, Engineering Fundamentals, Economics, Chemistry",Group,"Sun (3pm-5pm), Wed (3pm-6pm), Tue (5pm-8pm)",Reading/Writing,Collaboration,Quiet Spaces,Analytical Thinking,Music,Independent Music,Data Scientist,Email,Power Point,Online,Relaxed,Yes,No
Brandy Gonzales,Prefer Not to Say,Japan,25+,Master's,Sem 8,"Education Leadership, Data Science, Degin Futere, Machine Learning",Group,"Sun (5pm-8pm), Wed (3pm-7pm), Tue (9am-10am)",Auditory,Competition,Group Study Rooms,Analytical Thinking,Running,Independent Music,Supply Chain Manager,WhatsApp,Office 365,In-person,Collaborative,Yes,Yes
Aaron Scott,Binary,China,21-25,Bachelor's,Sem 7,"Engineering Fundamentals, Psychology, History, Biology",Group,"Sun (1pm-2pm), Wed (2pm-4pm), Tue (11am-2pm)",Reading/Writing,Collaboration,Library,Analytical Thinking,Robotics,Independent Music,Supply Chain Manager,Slack,Power Point,Online,Relaxed,No,No
Jeffrey Dominguez,Female,Mexico,18-21,Master's,Sem 6,"Marketing, Mechanical Engineering, Education Leadership, Machine Learning",Group,"Sun (12pm-4pm), Wed (3pm-7pm), Tue (10am-11am)",Reading/Writing,Competition,Group Study Rooms,Research,Running,Financial Literacy Education,Business Analyst,WhatsApp,Editing Tools,Online,Focused,No,No
Emily Booth,Binary,UK,21-25,Master's,Sem 3,"Cybersecurity, Degin Futere, Artificial Intelligence, Data Science",Group,"Sun (12pm-4pm), Wed (2pm-6pm), Tue (2pm-3pm)",Kinesthetic,Competition,Quiet Spaces,Time Management,Yoga,Independent Music,Business Analyst,Email,Animation Tools,Online,Focused,No,Yes
Amanda Zimmerman,Binary,South Africa,21-25,Bachelor's,Sem 5,"Sociology, Geography, Computer Science, Economics",Individual,"Sun (9am-11am), Wed (2pm-3pm), Tue (8am-9am)",Auditory,Competition,Group Study Rooms,Time Management,Music,Philosophy,Software Engineer,In-Person,SQL,Online,Competitive,Yes,No
Donald Dodson,Binary,Brazil,21-25,Bachelor's,Sem 6,"Physics, Political Science, Economics, Chemistry",Group,"Sun (1pm-4pm), Wed (5pm-7pm), Tue (11am-1pm)",Visual,Deadlines,Cafes,Problem-Solving,Hiking,Financial Literacy Education,Project Manager,WhatsApp,Python,Online,Collaborative,No,No
Jordan Barton,Female,USA,21-25,Master's,Sem 8,"Architecture, International Business, International Relations, Marketing",Individual,"Sun (8am-11am), Wed (10am-12pm), Tue (2pm-3pm)",Kinesthetic,Personal Goals,Cafes,Analytical Thinking,Reading,Independent Music,Project Manager,Email,Animation Tools,In-person,Focused,No,Yes
Jessica Ray,Male,South Africa,21-25,Master's,Sem 6,"Cybersecurity, Architecture, Data Science, International Business",Individual,"Sun (3pm-4pm), Wed (12pm-1pm), Tue (12pm-4pm)",Reading/Writing,Deadlines,Group Study Rooms,Presentation,Gaming,Independent Music,Supply Chain Manager,Email,Adobe Illustration,In-person,Collaborative,No,No
Tina Diaz,Prefer Not to Say,India,25+,Master's,Sem 1,"Cybersecurity, Degin Futere, Artificial Intelligence, Business Administration",Individual,"Sun (2pm-4pm), Wed (5pm-9pm), Tue (11am-2pm)",Kinesthetic,Competition,Cafes,Time Management,Dance,Group Entertainment,Supply Chain Manager,Slack,Power Point,In-person,Focused,Yes,No
Katherine Hess,Male,Mexico,21-25,Master's,Sem 8,"International Business, Architecture, International Relations, Degin Futere",Individual,"Sun (11am-12pm), Wed (10am-12pm), Tue (4pm-5pm)",Visual,Deadlines,Library,Presentation,Running,Culinary Arts,Project Manager,Email,Adobe Illustration,Online,Focused,Yes,Yes
Susan White,Non-Binary,South Africa,25+,Master's,Sem 1,"Architecture, International Relations, Data Science, Artificial Intelligence",Individual,"Sun (1pm-5pm), Wed (2pm-3pm), Tue (10am-11am)",Visual,Deadlines,Library,Analytical Thinking,Hiking,Mental Health Advocacy,Business Analyst,WhatsApp,SQL,In-person,Focused,Yes,No
Amanda Gibson,Prefer Not to Say,Japan,18-21,Master's,Sem 2,"Mechanical Engineering, Artificial Intelligence, International Business, Data Science",Individual,"Sun (10am-12pm), Wed (12pm-3pm), Tue (1pm-3pm)",Auditory,Collaboration,Library,Research,Running,Tech Entrepreneurship,Software Engineer,In-Person,Adobe Illustration,In-person,Relaxed,No,No
Gregory Robinson,Male,South Africa,21-25,Master's,Sem 2,"Data Science, Machine Learning, Mechanical Engineering, Degin Futere",Individual,"Sun (9am-12pm), Wed (1pm-3pm), Tue (10am-1pm)",Reading/Writing,Competition,Quiet Spaces,Research,Painting,Tech Entrepreneurship,Project Manager,In-Person,Power Point,In-person,Focused,Yes,No
James Sullivan,Prefer Not to Say,Germany,21-25,Bachelor's,Sem 5,"Psychology, Political Science, Mathematics, Computer Science",Individual,"Sun (12pm-2pm), Wed (8am-11am), Tue (11am-3pm)",Reading/Writing,Collaboration,Cafes,Research,Painting,Community Service,Supply Chain Manager,WhatsApp,Power Point,Online,Relaxed,No,No
Julie Hurley,Binary,UK,25+,Master's,Sem 7,"Education Leadership, Cybersecurity, Artificial Intelligence, International Relations",Individual,"Sun (2pm-6pm), Wed (5pm-6pm), Tue (9am-1pm)",Auditory,Competition,Group Study Rooms,Time Management,Writing,Group Entertainment,Data Scientist,WhatsApp,Editing Tools,In-person,Competitive,Yes,No
Adam Torres,Male,Brazil,18-21,Bachelor's,Sem 7,"Sociology, Geography, Biology, Chemistry",Individual,"Sun (10am-1pm), Wed (9am-12pm), Tue (5pm-8pm)",Reading/Writing,Competition,Library,Time Management,Hiking,Financial Literacy Education,Data Scientist,In-Person,Adobe Illustration,Online,Relaxed,No,Yes
Haley Wolfe,Female,UK,25+,Bachelor's,Sem 3,"Psychology, Literature, History, Sociology",Group,"Sun (3pm-7pm), Wed (9am-1pm), Tue (10am-2pm)",Reading/Writing,Collaboration,Quiet Spaces,Analytical Thinking,Hiking,Mental Health Advocacy,Business Analyst,WhatsApp,Power Point,In-person,Focused,No,No
